name,category,url
Nest Parts,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Nest%20Parts/index.html
Node Editing Mode,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/node-editing-mode/index.html
Object Selection Tools,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/object-selection-tools/index.html
Offset Vectors,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Offset%20Vectors/index.html
Open a File,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/open-a-file/index.html
Overlap Vectors,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/overlap-vectors/index.html
Paste Operation,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/paste-operation/index.html
Plate Production,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Plate%20Production/index.html
Redo Operation,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/redo-operation/index.html
Rotate,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Rotate/index.html
Save a File,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/save-a-file/index.html
Set Size,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Set%20Size/index.html
Snapping Options Dialog,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/snapping-options-dialog/index.html
Subtract Vectors,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/subtract-vectors/index.html
Text On A Curve,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Text%20On%20A%20Curve/index.html
Text Selection,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Text%20Selection/index.html
Trace Bitmap,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Trace%20Bitmap/index.html
Transform Mode,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/transform-mode/index.html
Trim Objects,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Trim%20Objects/index.html
Undo Operation,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/undo-operation/index.html
Ungroup Selection,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/ungroup-selection/index.html
Vector Boundary,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Vector%20Boundary/index.html
Vector Selection Mode,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/vector-selection-mode/index.html
Vector Texture,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Create%20Vector%20Texture/index.html
Vector Unwrapper,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Vector%20Unwrapper/index.html
Vector Validator,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Vector%20Validator/index.html
Weld Vectors,Design,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/weld-vectors/index.html
Getting Started: Online Machine Configuration,Getting Started,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/getting-started-online-machine-configuration/index.html
How to Get Started,Getting Started,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/how-to-get-started/index.html
Kickstarter Wizard,Getting Started,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/kickstarter-wizard/index.html
License Dialog,Getting Started,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/license-dialog/index.html
License Registration,Getting Started,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/license-registration/index.html
Manual Machine Configuration,Getting Started,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/manual-machine-configuration/index.html
Migration Dialog,Getting Started,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/uiMigrationDialog/index.html
Signing In,Getting Started,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/signing-in/index.html
2D View Controls,Interface,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/2d-view-controls/index.html
3D View Controls,Interface,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/3d-view-controls/index.html
Calculation Edit Boxes,Interface,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/calculation-edit-boxes/index.html
Document Variables,Interface,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/document-variables/index.html
Edit Sheet - Double Sided,Interface,https://docs.vectric.com/docs/V12.0/Aspire/ENU/Help/form/Sheet%20Edit%20Double/index.html
